vendor,date,old_cents,new_cents,diff_cents,old_rows,docs
apify,,2900,0,-2900,1,0
amazon,0126-02-11,32474,0,-32474,1,0
corelogic,2025-12-31,0,20000,20000,0,1
aa,2026-01-03,2500,0,-2500,1,0
julio,2026-01-05,20000,0,-20000,1,0
julio,2026-01-06,20000,0,-20000,1,0
homedepot,2026-01-07,38154,78710,40556,14,2
homedepot,2026-01-08,3620,12277,8657,2,1
julio,2026-01-09,20000,0,-20000,1,0
lowes,2026-01-09,0,36049,36049,0,1
shell,2026-01-10,648,0,-648,1,0
homedepot,2026-01-11,12885,17063,4178,10,1
julio,2026-01-12,20000,0,-20000,1,0
atmos,2026-01-13,0,5765,5765,0,1
energy texas,2026-01-13,4357,0,-4357,1,0
julio,2026-01-13,20000,0,-20000,1,0
lowes,2026-01-13,1342,0,-1342,1,0
foremost insurance g,2026-01-14,39262,0,-39262,1,0
homedepot,2026-01-14,10890,4050,-6840,6,2
julio,2026-01-14,20000,0,-20000,1,0
uber,2026-01-14,5882,0,-5882,1,0
homedepot,2026-01-15,24520,25265,745,5,2
julio,2026-01-15,20000,0,-20000,1,0
city of corsicana,2026-01-16,5460,0,-5460,2,0
homedepot,2026-01-16,2594,0,-2594,1,0
julio,2026-01-16,20000,0,-20000,1,0
lowes,2026-01-17,1806,18034,16228,1,1
aa,2026-01-18,0,57560,57560,0,1
driversnote,2026-01-18,1200,0,-1200,1,0
amazon,2026-01-20,24602,34590,9988,3,2
harborfreight,2026-01-21,3398,0,-3398,2,0
aa,2026-01-23,0,70608,70608,0,1
uber,2026-01-23,14741,10143,-4598,2,1
robinson air amp ele,2026-01-24,0,60670,60670,0,1
atmos,2026-01-28,0,5765,5765,0,1
corelogic,2026-01-31,0,20000,20000,0,1
harborfreight,2026-01-31,0,3398,3398,0,2
lgs,2026-02-02,1000,1030,30,1,1
homedepot,2026-02-03,31284,0,-31284,1,0
lowes,2026-02-03,9199,153798,144599,1,2
aa,2026-02-04,0,46240,46240,0,1
homedepot,2026-02-04,3104,0,-3104,1,0
lowes,2026-02-04,57887,13423,-44464,4,1
