key,tab,block,date,payee,cents,desc,match,docId,doc_date,doc_vendor,doc_total,doc_status,doc_verdict,doc_channel,doc_subject,n_cands
BIZ-36,RECAST BIZ,Tools,2026-02-16,Harbor Freight,3462,Roto Hammer Bits,vendor+date,gm-19c678226649aa40,2026-02-16,Harbor Freight Tools,25077,pending,post,104 Ashburne,Fwd: Your receipt from Harbor Freight | DESOTO  TX #03667,1
BIZ-37,RECAST BIZ,Tools,2026-02-16,Harbor Freight,12448,Roto Hammer Drill,vendor+date,gm-19c678226649aa40,2026-02-16,Harbor Freight Tools,25077,pending,post,104 Ashburne,Fwd: Your receipt from Harbor Freight | DESOTO  TX #03667,1
BIZ-51,RECAST BIZ,Tools,2026-03-15,Home Depot,10496,Tool Bags,vendor+~amount,gm-19ccf1f38113d4f9,2026-03-08,The Home Depot,10675,dismissed,dismiss,104 Ashburne,,43
BIZ-56,RECAST BIZ,Tools,2026-04-01,Home Depot,2108,Drill bits,vendor+date,gm-19d4918fa3edc702,2026-04-01,The Home Depot,28109,dismissed,dismiss,104 Ashburne,,43
BIZ-78,RECAST BIZ,Marketing,2026-06-21,VistaPrint,17099,Real Estate Sign Riders,vendor+date,gm-19ebf24ef82905c2,2026-06-13,VistaPrint,0,dismissed,dismiss,receipts,Your order is on its way,2
BIZ-79,RECAST BIZ,Marketing,2026-06-21,VistaPrint,14769,Real Estate Yard Signs,amount+vendor,gm-19e2257005de0d6e,2026-05-13,VistaPrint,40584,posted,post,receipts,Your order is confirmed,3
BIZ-80,RECAST BIZ,Marketing,2026-06-24,The Home Depot,673,Zip ties for signs,vendor+~amount,gm-19f0e8b993f57cd0,2026-06-28,The Home Depot,635,posted,post,136 Bowling Green,,33
BIZ-167,RECAST BIZ,Office,2026-06-25,The Home Depot,247,MED BOX - MEDIUM BOX 20X16X15,amount+vendor,gm-19ef4d5d26caf1e4,2026-06-23,The Home Depot,3243,dismissed,dismiss,280 Sparkling,,32
BIZ-168,RECAST BIZ,Office,2026-06-25,The Home Depot,247,MED BOX - MEDIUM BOX 20X16X15,amount+vendor,gm-19ef4d5d26caf1e4,2026-06-23,The Home Depot,3243,dismissed,dismiss,280 Sparkling,,32
BIZ-169,RECAST BIZ,Office,2026-06-25,The Home Depot,751,2X60 CL TAPE - SCOTCH HVYDUTY 54YDS RD 1PK,vendor+~amount,gm-19f0e8b993f57cd0,2026-06-28,The Home Depot,635,posted,post,136 Bowling Green,,33
