docId,date,vendor,receipt_cents,old_cents,gap_cents,items,subsets,return_items,status,old_where,resolution
gm-1a0622070be6c806,2026-09-02,Amazon,13706,12661,1045,1,0,,pending,RECAST BIZ/Marketing,hold: no subset
gm-19c1eedb38c22d7c,2026-02-02,Local Government Solutions (Online Record Search),1030,1000,30,1,0,,posted,RECAST BIZ/Business,hold: no subset
gm-19c976016b5f86ab,2026-02-25,Local Government Solutions (Online Record Search),1030,1000,30,2,1,LGS online records transaction fee 0.30,posted,RECAST BIZ/Business,return inferred
gm-19e79a903622d62d,2026-05-30,"Lowe's Home Centers, LLC",2458,1053,1405,0,0,,pending,RECAST BIZ/Materials;RECAST BIZ/Materials,hold: old rows cover less than half
gm-19f386e1e70d7f5a,2026-07-06,Tiger Mart #20,2163,1081,1082,1,0,,posted,RECAST BIZ/Office,hold: old rows cover less than half
gm-19f0fbce663c9387,2026-06-28,"Lowe's Home Centers, LLC",18764,15844,2920,4,0,,posted,136 Bowling Green/;136 Bowling Green/;136 Bowling Green/,hold: no subset
gm-19e8f7d279f40059,2026-05-30,The Home Depot,4514,4329,185,2,1,Orbit mushroom bubbler full-pattern sprinkler head (SKU 046878540422) $1.71 incl 1.85,posted,1616 Granite RECONCILED/,return inferred
gm-19c54bfd346362be,2026-02-03,"Lowe's Home Centers, LLC",76899,43819,33080,7,0,,pending,104 Ashburne/House Hardware;104 Ashburne/House Hardware;104 Ashburne/House Hardware,hold: no subset
gm-19cc5d6126f9b0e8,2026-03-06,Amazon,14611,4328,10283,2,1,"Passky ceiling fan with lights, qty 1 ($94.99 incl. share of TX sales tax) 102.83",posted,104 Ashburne/Supplies,hold: old rows cover less than half
gm-19fd34b701a40539,2026-08-05,The Home Depot,6424,1622,4802,3,0,,dismissed,136 Bowling Green/,hold: old rows cover less than half
gm-19f13a69198b2b6c,2026-06-29,The Home Depot,3740,521,3219,5,0,,posted,280 Sparkling RECONCILED/;280 Sparkling RECONCILED/,hold: old rows cover less than half
gm-19c77b8ad0ecc11d,2026-02-19,The Home Depot,10815,7571,3244,2,1,"Stetson 11"" 5CCT LED flush mount fixture (incl. tax share) 32.44",pending,104 Ashburne/Lighting & Electrical,return inferred
gm-19bc2ac9659bedac,2026-01-15,The Home Depot,24867,22405,2462,4,0,,posted,RECAST BIZ/Tools;RECAST BIZ/Tools,hold: no subset
