key,tab,block,sheet_row,date,payee,desc,cents,flags,correction,match,docId,doc_vendor,doc_date,doc_total,doc_status,doc_paid_from,read_account,read_property,doc_url,gmail_url,rows_on_doc,doc_gap_cents
BIZ-0,RECAST BIZ,Tools,,2026-01-07,Home Depot,Respirator,4111,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,1030,104 Ashburne,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-1,RECAST BIZ,Tools,,2026-01-07,Home Depot,Rigid Drill,8552,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-2,RECAST BIZ,Tools,,2026-01-07,Home Depot,Adjustable Wrenches,530,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-3,RECAST BIZ,Tools,,2026-01-07,Home Depot,Pliers,1837,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-4,RECAST BIZ,Tools,,2026-01-07,Home Depot,Tape Measure,3244,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-5,RECAST BIZ,Tools,,2026-01-07,Home Depot,Dewalt Drill Bits,2703,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-6,RECAST BIZ,Tools,,2026-01-07,Home Depot,Utility Knives,1611,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-7,RECAST BIZ,Tools,,2026-01-07,Home Depot,Flatbar,1945,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-8,RECAST BIZ,Tools,,2026-01-07,Home Depot,Pliers,1621,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
BIZ-9,RECAST BIZ,Tools,,2026-01-07,Home Depot,Screwdrivers,2162,[],,strong,gm-19bae80800798f37,The Home Depot,2026-01-07,39355,posted,PAUL,6510,OVERHEAD,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk,https://mail.google.com/mail/u/0/#all/19bae80800798f37,13,2281
