docId,doc_date,vendor,receipt,old_rows,old_rows_total,gap,kind,items_that_sum_to_gap,rows,link
gm-19d6ee18dbed6f84,2026-04-08,The Home Depot,891.18,2,"1,776.31",-885.13,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Landscaping Home Depot 879.31 | 104 Ashburne/Supplies Home Depot 897.00,https://mail.google.com/mail/u/0/#all/19d6ee18dbed6f84
gm-19fdc01a4d613ee4,2026-08-07,"Various (Paul's handwritten expense log - Julio, DL, City of Waxahachie, Home Depot, Walmart)","1,064.97",6,458.50,606.47,receipt > rows: return or omitted item?,"6-12 Julio - mow front yard 200.00 + 6-17 DL - mow backyard, tall grass 200.00 + 6-18 City of Waxahachie - water 200.00 + 6-28 Home Depot - PVC 6.47",280 Sparkling RECONCILED/ Home Depot 2.01 | 280 Sparkling RECONCILED/ Home Depot 248.15 | 280 Sparkling RECONCILED/ Home Depot 60.56 | 280 Sparkling RECONCILED/ Home Depot 1.33 | 280 Sparkling RECONCILED/ Home Depot 5.72 | 280 Sparkling RECONCILED/ Walmart 140.73,https://mail.google.com/mail/u/0/#all/19fdc01a4d613ee4
gm-19d405df0d679aff,2026-03-30,Waxahachie Glass Corp.,518.78,2,"1,037.56",-518.78,"rows > receipt: another receipt, or a typed amount to check",,104 Ashburne/Chimney/FIreplace/Glass Waxahachie Glass 518.78 | 104 Ashburne/House Hardware Waxahachie Glass 518.78,https://mail.google.com/mail/u/0/#all/19d405df0d679aff
gm-19f99daa6dab8453,2026-07-07,Falcon Creek Lawn Care,535.00,2,125.00,410.00,receipt > rows: return or omitted item?,,1616 Granite RECONCILED/ Effren - 1374 70.00 | 280 Sparkling RECONCILED/ Effren - 1374 55.00,https://mail.google.com/mail/u/0/#all/19f99daa6dab8453
gm-19c54bfd346362be,2026-02-03,"Lowe's Home Centers, LLC",768.99,2,368.09,400.90,receipt > rows: return or omitted item?,"Kerdi-Board-SN shower niche 12-in x 12-in w/frame, screws + washers (item 650939 183.98 + 3-1/2-in oil-rubbed bronze mortise interior door hinge (item 206721) QTY 1 5.07 + 3-1/2-in matte black mortise interior door hinge (item 2503597) QTY 1 5.39 + Baron matte black hall/closet passage door knob contractor 6-pack (item 5183977) 136.35 + Baron matte black exterior deadbolt + keyed entry knob combo pack (item 1658869) 70.11",104 Ashburne/House Hardware Lowes 219.14 | 104 Ashburne/House Hardware Lowes 148.95,https://mail.google.com/mail/u/0/#all/19c54bfd346362be
gm-19d86e82a24ba657,2026-04-13,The Home Depot,897.00,5,590.06,306.94,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 126.98 | 104 Ashburne/Kitchen Home Depot 128.82 | 104 Ashburne/Supplies Home Depot 7.56 | 104 Ashburne/Supplies Home Depot 6.47 | 104 Ashburne/Supplies Home Depot 320.23,https://mail.google.com/mail/u/0/#all/19d86e82a24ba657
gm-19e8f79855b1df77,2026-05-29,The Home Depot,303.27,3,19.43,283.84,receipt > rows: return or omitted item?,,104 Ashburne/Supplies Home Depot 7.56 | 1616 Granite RECONCILED/ Home Depot 7.56 | 1616 Granite RECONCILED/ Home Depot 4.31,https://mail.google.com/mail/u/0/#all/19e8f79855b1df77
gm-19c01b85d135afa6,2026-01-20,Amazon,276.22,1,6.36,269.86,receipt > rows: return or omitted item?,,104 Ashburne/HVAC Amazon 6.36,https://mail.google.com/mail/u/0/#all/19c01b85d135afa6
gm-19e2257005de0d6e,2026-05-13,VistaPrint,405.84,1,147.69,258.15,receipt > rows: return or omitted item?,"Metal Sign Holders for Real Estate, qty 2 (94.83 net + 7.82 tax) 102.65 + Real Estate Sign Riders, qty 2 (63.00 net + 5.20 tax) 68.20 + Real Estate Sign Riders, qty 2 (80.65 + 6.65 tax) 87.30",RECAST BIZ/Marketing VistaPrint 147.69,https://mail.google.com/mail/u/0/#all/19e2257005de0d6e
gm-19c5d297b5829e55,2026-02-14,The Home Depot,353.12,3,95.19,257.93,receipt > rows: return or omitted item?,"2-1/2"" drive pins, 25 pcs (incl. tax) 10.05 + Milwaukee M18 FUEL 6-1/2"" circular saw, net of free XC6.0 battery BOGO (incl. ta 247.88",RECAST BIZ/Tools Home Depot 41.10 | 104 Ashburne/Supplies Home Depot 16.22 | 104 Ashburne/Supplies Home Depot 37.87,https://drive.google.com/file/d/1d7L_wzfiuV5TXD1bFSEh-si0uuSZ46y2/view?usp=drivesdk
gm-19ed8190a6945042,2026-06-16,The Home Depot,589.45,9,347.80,241.65,receipt > rows: return or omitted item?,,RECAST BIZ/Tools The Home Depot 150.47 | RECAST BIZ/Tools The Home Depot 30.28 | 104 Ashburne/Small Baths Home Depot 23.82 | 104 Ashburne/Small Baths Home Depot 38.97 | 104 Ashburne/Supplies Home Depot 14.04 | 104 Ashburne/Supplies Home Depot 32.44 | 104 Ashburne/Supplies Home Depot 14.04 | 104 Ashb,https://mail.google.com/mail/u/0/#all/19ed8190a6945042
gm-1a06da589b0fc446,2026-09-04,"Lowe's Home Centers, LLC",270.50,3,36.20,234.30,receipt > rows: return or omitted item?,"Kwikset Brentford/Sedona entry handleset (item 6823980), incl. tax share 135.31 + 2 x 1-gal Valspar porch & floor stain, light base (item 65735), incl. tax share 86.56 + Project Source swivel scrub brush (item 5462651) for porch/floor prep, incl. tax 12.43",469 Brushwood/ Lowes 14.05 | 469 Brushwood/ Lowes 7.56 | 469 Brushwood/ Lowes 14.59,https://mail.google.com/mail/u/0/#all/1a06da589b0fc446
gm-19d25017467ed73d,2026-03-25,The Home Depot,241.50,1,17.83,223.67,receipt > rows: return or omitted item?,,104 Ashburne/Lighting & Electrical Home Depot 17.83,https://mail.google.com/mail/u/0/#all/19d25017467ed73d
gm-19d4ed506ec83c9a,2026-04-02,The Home Depot,271.24,1,58.37,212.87,receipt > rows: return or omitted item?,"1-1/2"" flanged washer (incl. tax share) 3.52 + Universal tub drain cartridge gasket (incl. tax share) 4.31 + 3 x 40 lb Lawn Thick'R Tall Fescue seed @ 63.14 (incl. tax share) 205.04",104 Ashburne/Supplies Home Depot 58.37,https://drive.google.com/file/d/1xCcg9al8SkPPJ4kXbkqYO4jE0314eIRX/view?usp=drivesdk
gm-19bc2ac9659bedac,2026-01-15,The Home Depot,248.67,8,55.61,193.06,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 8.63 | RECAST BIZ/Tools Home Depot 7.34 | 104 Ashburne/Small Baths Home Depot 6.95 | 104 Ashburne/Supplies Home Depot 4.74 | 104 Ashburne/Supplies Home Depot 7.67 | 104 Ashburne/Supplies Home Depot 6.47 | 104 Ashburne/Supplies Home Depot 6.47 | 104 Ashburne/Supplies Home ,https://drive.google.com/file/d/1nphP8iGvvw2ts4HMcQe1-QtT1B9z3VKk/view?usp=drivesdk
gm-1a05ab0fab9330ec,2026-08-30,Falcon Creek Lawn Care,425.00,2,260.00,165.00,receipt > rows: return or omitted item?,,881 Newport/ Efren - 1390 110.00 | 104 Ashburne/Landscaping Falcon Creek Lawn Care - INV 1390 150.00,https://mail.google.com/mail/u/0/#all/1a05ab0fab9330ec
gm-19f0fbce663c9387,2026-06-28,"Lowe's Home Centers, LLC",187.64,3,42.65,144.99,receipt > rows: return or omitted item?,,136 Bowling Green/ Lowes 14.55 | 136 Bowling Green/ Lowes 14.05 | 1616 Granite RECONCILED/ Lowes 14.05,https://drive.google.com/file/d/18AHF8I-xkG6ZKOyBKz5NUN--vR47mqfv/view?usp=drivesdk
gm-19c678226649aa40,2026-02-16,Harbor Freight Tools,250.77,6,110.34,140.43,receipt > rows: return or omitted item?,"Bauer D-handle SDS-Plus rotary hammer, SKU 58214 ($114.99 less $17.25 discount) 105.81 + SDS-Plus 10in bull point chisel, SKU 56557 17.31 + SDS-Plus 3/4in x 10in flat chisel, SKU 56555 17.31",RECAST BIZ/Tools Harbor Freight 10.81 | RECAST BIZ/Tools Harbor Freight 21.64 | RECAST BIZ/Tools Harbor Freight 43.29 | RECAST BIZ/Tools Harbor Freight 27.05 | 104 Ashburne/Supplies Harbor Freight 2.15 | 104 Ashburne/Supplies Harbor Freight 5.40,https://mail.google.com/mail/u/0/#all/19c678226649aa40
gm-19d7d96bd9768097,2026-04-11,The Home Depot,181.51,4,43.20,138.31,receipt > rows: return or omitted item?,,104 Ashburne/Small Baths Home Depot 10.80 | 104 Ashburne/Supplies Home Depot 10.80 | 104 Ashburne/Supplies Home Depot 10.80 | 104 Ashburne/Supplies Home Depot 10.80,https://drive.google.com/file/d/1t7itEZhq43AkjmJjP8csWKFd0O7ltlf-/view?usp=drivesdk
gm-19c7be8f6b3c531b,2026-02-20,The Home Depot,135.07,1,17.29,117.78,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 17.29,https://mail.google.com/mail/u/0/#all/19c7be8f6b3c531b
gm-19c529f443b9a66e,2026-02-12,The Home Depot,156.67,2,40.54,116.13,receipt > rows: return or omitted item?,"1/2 in. x 10 ft. red PEX-A straight pipe 4.94 + tax 5.35 + 1/2 in. x 10 ft. blue PEX pipe 4.73 + tax 5.12 + 1/2"" PEX SS clamps, 10-pack 7.38 + tax 7.99 + 1/2"" SharkBite couplings, 2 @ 9.36 = 18.72 + tax 20.26 + 1/2"" SharkBite end stops, 2 @ 9.11 = 18.22 + tax 19.72 + LUS28Z 2""x8"" 18GA double shear hangers, 3 @ 2.77 = 8.31 + tax 9.00 + PEX clamp tool (QCLAMP) 44.98 + tax 48.69",RECAST BIZ/Tools Home Depot 24.88 | 104 Ashburne/Supplies Home Depot 15.66,https://mail.google.com/mail/u/0/#all/19c529f443b9a66e
gm-19cb001414554a99,2026-03-02,The Home Depot,147.38,2,32.38,115.00,receipt > rows: return or omitted item?,,104 Ashburne/Small Baths Home Depot 16.19 | 104 Ashburne/Lighting & Electrical Home Depot 16.19,https://mail.google.com/mail/u/0/#all/19cb001414554a99
gm-19d4fef69c52ef33,2026-03-30,The Home Depot,241.50,7,129.91,111.59,receipt > rows: return or omitted item?,,104 Ashburne/Lighting & Electrical Home Depot 5.85 | 104 Ashburne/Supplies Home Depot 4.28 | 104 Ashburne/Lighting & Electrical Home Depot 17.83 | 104 Ashburne/Lighting & Electrical Home Depot 85.42 | 104 Ashburne/Supplies Home Depot 5.27 | 104 Ashburne/Supplies Home Depot 5.37 | 104 Ashburne/Suppli,https://mail.google.com/mail/u/0/#all/19d4fef69c52ef33
gm-19f059f5de8379eb,2026-06-26,The Home Depot,144.91,3,39.96,104.95,receipt > rows: return or omitted item?,"Mold-X mesh joint tape 1-7/8""x300' 13.28, USG all-purpose joint compound 3.5qt 1 61.75 + Vancouver satin nickel door handleset 46.97 less 7.05 Pro Xtra = 39.92 incl. 3.2 43.20",881 Newport/ Home Depot 8.10 | 136 Bowling Green/ Home Depot 12.85 | 136 Bowling Green/ Home Depot 19.01,https://mail.google.com/mail/u/0/#all/19f059f5de8379eb
gm-19cc5d6126f9b0e8,2026-03-06,Amazon,146.11,1,43.28,102.83,receipt > rows: return or omitted item?,"Passky ceiling fan with lights, qty 1 ($94.99 incl. share of TX sales tax) 102.83",104 Ashburne/Supplies Amazon 43.28,https://drive.google.com/file/d/1tszB-WTdmS_c3RTee1S_19yMAIwktY8w/view?usp=drivesdk
gm-19caf33c58069d0d,2026-03-02,The Home Depot,219.69,4,119.48,100.21,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 22.70 | 104 Ashburne/Small Baths Home Depot 32.28 | 104 Ashburne/Small Baths Home Depot 31.51 | 104 Ashburne/Master Bath Home Depot 32.99,https://mail.google.com/mail/u/0/#all/19caf33c58069d0d
gm-1a06240c78fa29e2,2026-09-02,The Home Depot,339.99,10,250.78,89.21,receipt > rows: return or omitted item?,,469 Brushwood/ Home Depot 54.09 | 469 Brushwood/ Home Depot 12.95 | 469 Brushwood/ Home Depot 7.56 | 469 Brushwood/ Home Depot 8.16 | 469 Brushwood/ Home Depot 10.80 | 469 Brushwood/ Home Depot 19.45 | 469 Brushwood/ Home Depot 8.58 | 469 Brushwood/ Home Depot 6.47 | 469 Brushwood/ Home Depot 15.57 ,https://mail.google.com/mail/u/0/#all/1a06240c78fa29e2
gm-1a091048b80076d7,2026-09-10,TXU Energy,204.98,1,118.12,86.86,receipt > rows: return or omitted item?,,881 Newport/ TXU 118.12,https://mail.google.com/mail/u/0/#all/1a091048b80076d7
gm-19b9ef373c8332d3,2026-01-08,The Home Depot,122.77,2,36.20,86.57,receipt > rows: return or omitted item?,"Defiant Compact HubSpace smart square video doorbell, matte black ($79.97 + tax) 86.57",RECAST BIZ/Tools Home Depot 23.77 | 104 Ashburne/Cleaning Home Depot 12.43,https://mail.google.com/mail/u/0/#all/19b9ef373c8332d3
gm-1a07d2aab4818b57,2026-09-06,The Home Depot,115.51,1,32.41,83.10,receipt > rows: return or omitted item?,Behr Premium Semi-Transparent stain: 5105 Padre Brown 1G + 5104 Cordovan Brown 1 83.10,469 Brushwood/ Home Depot 32.41,https://drive.google.com/file/d/17PlZo5qE07wHrcX6SXH1naJdzryIEujX/view?usp=drivesdk
gm-19d1b92fe12a4c7d,2026-03-23,The Home Depot,98.07,1,19.42,78.65,receipt > rows: return or omitted item?,"2 @ 13.45 1/2"" SB x 3/8"" OD comp angle stops (26.90) + 4 @ 11.44 1/4-turn angle  78.65",104 Ashburne/Small Baths Home Depot 19.42,https://drive.google.com/file/d/1SxCJSApwrx9UUj4JfYT2cJh-XYgoSORO/view?usp=drivesdk
gm-19bae80800798f37,2026-01-07,The Home Depot,393.55,13,316.65,76.90,receipt > rows: return or omitted item?,"Husky 42G contractor bags 50ct, 2 @ 29.97 (incl. tax) 64.88 + Nitrile coated gloves w/ liner, 3 pairs (incl. tax) 12.02",RECAST BIZ/Tools Home Depot 41.11 | RECAST BIZ/Tools Home Depot 85.52 | RECAST BIZ/Tools Home Depot 5.30 | RECAST BIZ/Tools Home Depot 18.37 | RECAST BIZ/Tools Home Depot 32.44 | RECAST BIZ/Tools Home Depot 27.03 | RECAST BIZ/Tools Home Depot 16.11 | RECAST BIZ/Tools Home Depot 19.45 | RECAST BIZ/To,https://drive.google.com/file/d/1ZVDEqXlk7twrRuzyK-JsTl3VhzsqLH7I/view?usp=drivesdk
gm-1a0394bf02758212,2026-08-25,Amazon,37.90,1,113.58,-75.68,"rows > receipt: another receipt, or a typed amount to check",,RECAST BIZ/Office Amazon.com 113.58,https://drive.google.com/file/d/160_c-Cdthhz4c2O8d0wD62L6VU1fec55/view?usp=drivesdk
gm-1a000805d296df8b,2026-08-14,The Home Depot,87.26,1,11.88,75.38,receipt > rows: return or omitted item?,Defiant Vancouver handleset MB 49.97 less 7.50 Pro Xtra Preferred Pricing = 42.4 45.97 + Defiant Hartford MB combo pack 31.97 less 4.80 Pro Xtra Preferred Pricing = 27.1 29.41,366 Mesa/ Home Depot 11.88,https://drive.google.com/file/d/1OC65derKXGQVjdxfhUbk9VOAiEt8kw68/view?usp=drivesdk
gm-19c76c4996bae8b0,2026-02-19,The Home Depot,390.12,9,316.61,73.51,receipt > rows: return or omitted item?,,RECAST BIZ/Tools Home Depot 31.37 | RECAST BIZ/Tools Home Depot 23.78 | RECAST BIZ/Tools Home Depot 54.09 | 104 Ashburne/Lighting & Electrical Home Depot 86.57 | 104 Ashburne/Paint & Flooring Home Depot 7.56 | 104 Ashburne/Supplies Home Depot 23.67 | 104 Ashburne/Supplies Home Depot 11.70 | 104 Ashb,https://mail.google.com/mail/u/0/#all/19c76c4996bae8b0
gm-19d3a4c4d7090e19,2026-03-29,The Home Depot,87.64,2,15.93,71.71,receipt > rows: return or omitted item?,"18 x 5/8""x5-1/2""x8' PT pine dog-ear pickets @ $3.68 (incl. tax share) 71.71",104 Ashburne/Small Baths Home Depot 10.11 | 104 Ashburne/Small Baths Home Depot 5.82,https://mail.google.com/mail/u/0/#all/19d3a4c4d7090e19
gm-19d6d01dadaa68e4,2026-04-08,The Home Depot,207.08,5,138.92,68.16,receipt > rows: return or omitted item?,,104 Ashburne/Paint & Flooring Home Depot 47.63 | 104 Ashburne/Master Bath Home Depot 12.95 | 104 Ashburne/Supplies Home Depot 12.95 | 104 Ashburne/Supplies Home Depot 21.61 | 104 Ashburne/Supplies Home Depot 43.78,https://drive.google.com/file/d/1Svs9tT6_SFjEh5BgW8lSLJaY_r-gdUjN/view?usp=drivesdk
gm-19d63f17bf22f9fa,2026-04-06,The Home Depot,181.52,5,118.12,63.40,receipt > rows: return or omitted item?,,104 Ashburne/House Hardware Home Depot 22.50 | 104 Ashburne/Master Bath Home Depot 23.79 | 104 Ashburne/Supplies Home Depot 25.37 | 104 Ashburne/Supplies Home Depot 22.67 | 104 Ashburne/Supplies Home Depot 23.79,https://mail.google.com/mail/u/0/#all/19d63f17bf22f9fa
