date,vendor,total,where_the_read_put_it,status,subject,weak_candidates,docId
2026-03-30,"Ellis County Tax Office (Richard Rozier, Tax Assessor-Collector)","16,031.25",104 Ashburne,pending,Property tax,,gm-19d3fc513d1b8d07
2026-07-08,Handwritten expense worksheet (Paul) - multiple vendors,"2,691.44",,pending,,,gm-19f3f6f506f7c073
2026-02-19,Lowe's Home Improvement,"1,478.59",,pending,Your Lowe's Purchase Receipt,,gm-19c76792ce5e1fe9
2026-02-08,Amazon,"1,001.21",104 Ashburne,pending,"Fwd: Ordered: 2 ""60 in Ceiling Fan of..."" and 8 more items",,gm-19c3e4d6fcbb69bf
2026-07-10,City of Waxahachie - Water Billing Department,913.92,1616 Granite,pending,City of Waxachie Utility Bill,,gm-19f6b62d3d65e926
2026-02-03,"Lowe's Home Centers, LLC",768.99,104 Ashburne,pending,Lowe’s Reciept ,,gm-19c28915ee4c0912
2026-01-23,American Airlines,706.08,OVERHEAD,pending,Fwd: 01/23/26,,gm-19c8b349964c680d
2026-09-07,Mariana Martinez,700.00,,pending,Mariana,469 Brushwood/Mariana/250.00,gm-1a07ec26660d7659
2026-04-03,"Unknown (email from Paul Bjork, subject ""Interest"")",666.67,,pending,Interest,,gm-19d55c64fef934ea
2026-03-18,Flexitions,653.34,104 Ashburne,pending,Fwd: Order #8246 confirmed,,gm-19d02f1149cf34d6
2026-03-17,Amazon,596.71,104 Ashburne,pending,2 amazon,104 Ashburne/Amazon/154.53;104 Ashburne/Amazon/411.34,gm-19cfbe563f75f960
2026-03-18,Walton's Muffler Brake &amp; Tire,593.77,OVERHEAD,pending,,104 Ashburne/Waltons Brakes & Muf/593.77,gm-19d018e208f5ce58
2026-01-18,American Airlines,575.60,OVERHEAD,pending,Fwd: 02/01/26,,gm-19c8b34b8addc1ea
2026-09-09,Alaska Airlines,559.40,OVERHEAD,dry,Fwd: Your flight is booked: KPQHJU to Portland on 09/09/2026,,dry-gm-1a083f30d9e415bb
2026-06-18,Unknown (no vendor named in email),550.00,104 Ashburne,pending,Armadre fan,104 Ashburne/Armandre Vega/550.00,gm-19edb74b0d81508a
2026-08-31,Red Oak Municipal Payments - Utility Billing,529.24,136 Bowling Green,pending,Fwd: Payment confirmation,,gm-1a05ab4094033830
2026-03-05,Armandre Vega,524.81,104 Ashburne,pending,Send money,104 Ashburne/Armandre Vega/98.97,gm-19cbe5fe4bbbc3d4
2026-03-22,The Home Depot,514.16,104 Ashburne,pending,,104 Ashburne/Home Depot/1.06,gm-19d16d3ec604edb7
2026-08-17,"Energy Texas (Rhythm Ops, LLC)",484.43,,pending,"Your $484.43 bill set for Auto Pay on September 3, 2026 is n",,gm-1a011d9697ffbad1
2026-09-03,"Energy Texas (Rhythm Ops, LLC)",484.43,,pending,All set! We received your payment through Auto Pay.,,gm-1a066c4d6b0da9a5
2026-06-30,"Handwritten payment log - 136 Bowling Green (payees: unnamed carpet installer; ""FALCON"")",475.00,136 Bowling Green,pending,,136 Bowling Green/Lupe/160.00,gm-19f3f6d3919a5816
