property,old_rows,old_cents,posted_txns,posted_cents,pending_docs,pending_cents,error_docs,error_cents,uncovered_rows,uncovered_cents,residual_cents,top_holds,corrections
104 Ashburne,510,18009321,68,1170951,134,9601485,1,37458,178,10224200,-3024773,LOW_CONFIDENCE 61; OVER_CEILING 55; ENTRY_INVALID:OVERHEAD_ON_PROPERTY 35; NOT_POST_VERDICT 32,"C-1 2026-09-17 Paul: $45,000.00 was a typo, actual $450.00"
136 Bowling Green,47,344665,8,84437,9,225811,3,22604,19,126801,-114988,LOW_CONFIDENCE 7; NOT_POST_VERDICT 3; OVER_CEILING 2; PAYER_UNKNOWN 1,
1616 Granite,60,1190587,12,159417,20,745699,0,0,17,210801,74670,LOW_CONFIDENCE 12; NOT_POST_VERDICT 9; OVER_CEILING 6; NEEDS_HUMAN_274D 4,
206 White Rock,0,0,0,0,2,73800000,0,0,0,0,-73800000,NOT_POST_VERDICT 2; LOW_CONFIDENCE 2; OVER_CEILING 2,
280 Sparkling,63,789660,9,75100,12,39900114,1,4326,16,127683,-39317563,LOW_CONFIDENCE 7; NOT_POST_VERDICT 6; OVER_CEILING 6; PAYER_UNKNOWN 4,
366 Mesa,26,964800,0,0,9,210400,0,0,18,627741,126659,LOW_CONFIDENCE 6; PAYER_UNKNOWN 4; NOT_POST_VERDICT 3; OVER_CEILING 2,
413 Green Acres,0,0,0,0,1,14400,0,0,0,0,-14400,LOW_CONFIDENCE 1,
469 Brushwood,33,191680,1,5587,10,210096,0,0,12,107782,-131785,LOW_CONFIDENCE 9; NOT_POST_VERDICT 5; PAYER_UNKNOWN 1; ZERO_TOTAL 1,
881 Newport,30,308917,4,34080,8,202352,0,0,10,34164,38321,LOW_CONFIDENCE 6; NOT_POST_VERDICT 4; PAYER_UNKNOWN 4; OVER_CEILING 2,
OVERHEAD,284,2190891,85,857017,126,1345693,2,13927,32,363744,-389490,LOW_CONFIDENCE 75; NOT_POST_VERDICT 50; PAYER_UNKNOWN 39; NEEDS_HUMAN_274D 16,
(no entry),0,0,0,0,65,1444417,0,0,0,0,-1444417,NOT_POST_VERDICT 65; LOW_CONFIDENCE 59; TOTAL_MISMATCH 50; ZERO_TOTAL 17,
